,cpgName,H3K9me3_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K27me3_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K4me1_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2A_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K36me3_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K4me3_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K27ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K4me2_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H4K91ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,DNase_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K9ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H4K8ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K4ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2BK120ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H4K20me1_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K79me1_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K23ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2BK15ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K23me2_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K79me2_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2BK5ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K18ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K56ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2AK5ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2BK12ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H4K5ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K9me1_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3K14ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H3T11ph_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2BK20ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H2AK9ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,H4K12ac_ImputedGapped_Roadmap_all_celltypes_westra_final_unique_,zscore
0,cg00582671_ENSG00000188290,0.0,1.0,0.574803149606,0.142105263158,0.0,0.023622047244099997,0.0866141732283,0.196850393701,0.267716535433,0.102362204724,0.047244094488199995,0.267716535433,0.22834645669300002,0.18897637795299999,0.685039370079,0.110236220472,0.0157480314961,0.0325203252033,0.110236220472,0.07086614173229999,0.102362204724,0.433070866142,0.007874015748029999,0.251968503937,0.34645669291299996,0.07086614173229999,0.0,0.22834645669300002,0.150793650794,0.039370078740199994,0.111111111111,0.214285714286,-6.301914599999999
1,cg00582671_ENSG00000078369,0.0,1.0,0.574803149606,0.142105263158,0.0,0.023622047244099997,0.0866141732283,0.196850393701,0.267716535433,0.102362204724,0.047244094488199995,0.267716535433,0.22834645669300002,0.18897637795299999,0.685039370079,0.110236220472,0.0157480314961,0.0325203252033,0.110236220472,0.07086614173229999,0.102362204724,0.433070866142,0.007874015748029999,0.251968503937,0.34645669291299996,0.07086614173229999,0.0,0.22834645669300002,0.150793650794,0.039370078740199994,0.111111111111,0.214285714286,6.2566726
2,cg12257384_ENSG00000188290,0.0,0.992125984252,1.0,0.742105263158,0.0,1.0,1.0,1.0,0.976377952756,1.0,1.0,0.992125984252,0.976377952756,0.976377952756,0.330708661417,0.637795275591,0.37795275590599997,0.268292682927,0.874015748031,0.464566929134,0.858267716535,1.0,0.44881889763800004,0.748031496063,0.937007874016,0.8031496062989999,0.0,0.968503937008,0.8015873015870001,0.34645669291299996,0.47619047618999993,0.928571428571,-9.1438381
3,cg20062691_ENSG00000187608,0.0,0.149606299213,1.0,0.7947368421050001,0.0,1.0,1.0,1.0,0.984251968504,1.0,1.0,1.0,0.992125984252,0.937007874016,0.0,0.748031496063,0.543307086614,0.21951219512200001,0.92125984252,0.944881889764,0.889763779528,1.0,0.653543307087,0.8267716535430001,0.9527559055120001,0.8976377952760001,0.0,0.976377952756,0.865079365079,0.330708661417,0.555555555556,0.9682539682539999,-12.100059300000002
4,cg03811829_ENSG00000187608,0.0,0.149606299213,1.0,0.7947368421050001,0.0,1.0,1.0,1.0,0.984251968504,1.0,1.0,1.0,0.992125984252,0.937007874016,0.0,0.748031496063,0.543307086614,0.21951219512200001,0.92125984252,0.944881889764,0.889763779528,1.0,0.645669291339,0.8267716535430001,0.9527559055120001,0.889763779528,0.0,0.976377952756,0.865079365079,0.330708661417,0.555555555556,0.9682539682539999,-6.2681396
5,cg11211792_ENSG00000187608,0.0,0.149606299213,1.0,0.7842105263160001,0.0,1.0,1.0,1.0,0.976377952756,1.0,1.0,1.0,0.992125984252,0.937007874016,0.0,0.748031496063,0.5275590551179999,0.21951219512200001,0.8661417322830001,0.944881889764,0.874015748031,1.0,0.6299212598430001,0.8267716535430001,0.9527559055120001,0.88188976378,0.0,0.976377952756,0.8571428571430001,0.330708661417,0.52380952381,0.960317460317,-6.7466875
6,cg04788999_ENSG00000187608,0.0,0.149606299213,1.0,0.778947368421,0.0,1.0,1.0,1.0,0.976377952756,1.0,1.0,1.0,0.992125984252,0.92125984252,0.0,0.748031496063,0.511811023622,0.21951219512200001,0.748031496063,0.937007874016,0.8425196850390001,1.0,0.590551181102,0.8267716535430001,0.944881889764,0.8267716535430001,0.0,0.976377952756,0.84126984127,0.330708661417,0.5079365079370001,0.8968253968250001,-9.550230099999999
7,cg16526047_ENSG00000187608,0.0,0.149606299213,1.0,0.776315789474,0.0,1.0,1.0,1.0,0.976377952756,1.0,1.0,0.992125984252,0.992125984252,0.92125984252,0.0,0.748031496063,0.503937007874,0.211382113821,0.708661417323,0.9133858267720001,0.834645669291,1.0,0.590551181102,0.8267716535430001,0.944881889764,0.811023622047,0.0,0.96062992126,0.84126984127,0.322834645669,0.5,0.880952380952,-10.193304800000002
8,cg17084044_ENSG00000186827,0.0,0.0787401574803,0.7244094488189999,0.17105263157900003,0.488188976378,0.236220472441,0.44881889763800004,0.275590551181,0.275590551181,0.307086614173,0.22047244094500001,0.236220472441,0.18897637795299999,0.15748031496099998,0.8425196850390001,0.614173228346,0.039370078740199994,0.05691056910569999,0.15748031496099998,0.267716535433,0.18897637795299999,0.275590551181,0.07086614173229999,0.181102362205,0.236220472441,0.196850393701,0.0,0.18897637795299999,0.214285714286,0.0866141732283,0.18253968254,0.34126984127,-7.682353699999999
9,cg26312965_ENSG00000186827,0.007874015748029999,0.0,0.5590551181100001,0.105263157895,1.0,0.125984251969,0.496062992126,0.133858267717,0.16535433070900002,0.173228346457,0.11811023622000001,0.204724409449,0.141732283465,0.110236220472,0.874015748031,0.732283464567,0.039370078740199994,0.05691056910569999,0.102362204724,0.433070866142,0.16535433070900002,0.196850393701,0.0629921259843,0.133858267717,0.16535433070900002,0.181102362205,0.0,0.110236220472,0.14285714285700002,0.0629921259843,0.15873015873,0.269841269841,-10.7750246
